hotel_id,name,destination,website,source
781267,3 House Apart,"Antalya, Kaş",https://www.apart3house.com,listing
657,A11 Hotels Obaköy,"Antalya, Alanya",https://www.taksimotelcilik.com.tr,listing
1285117,Acapulco Resort Convention Spa Hotel & Casino,"Kıbrıs, Girne",https://www.acapulco.com.tr,listing
110744,Acar Otel Alanya,"Antalya, Alanya",https://www.acarhotel.com/,web_search
1025368,Acroter Hotel & Spa Datça,"Muğla, Datça",https://www.acroterhotels.com,listing
781468,Ada Arası Otel,"Antalya, Kumluca",https://adaarasiotel.com,web_search
1264269,Adalya Artside Hotel,"Antalya, Manavgat, Side",https://adalyaartside.com/tr,listing
783289,Adanis Park Termal Otel,"Kahramanmaraş, Onikişubat",https://www.adanispark.com/,listing
1238797,Adenya Hotel Resort & SPA,"Antalya, Alanya, Avsallar",https://www.adenyahotels.com.tr,listing
878128,Adil Butik Otel,"Aydın, Didim",https://www.adilshousedidim.com,web_search
1023792,Adora Golf Resort Hotel,"Antalya, Serik",https://www.adora.com,listing
873694,Adrasan Eldorado Butik,"Antalya, Kumluca, Adrasan",https://www.eldoradootel.com/,listing
299,Adrasan Klados Hotel,"Antalya, Kumluca, Çavuşköy",https://www.adrasankladoshotel.com,listing
1023633,Adrasan La Casita Boutique Hotel,"Antalya, Kumluca",http://lacasitaadrasan.com,web_search
371,Adrina Termal Health & Spa Hotel,"Balıkesir, Edremit",https://www.adrinahotel.com,listing
1019767,Aegean Gate Hotel,"Muğla, Bodrum",http://aegeangatehotel.com,web_search
785818,Afflon Hotels Loft City,Antalya,https://www.afflonhotels.com.tr,listing
378329,Agaya Didim Resort (Ex.Prive Didim) ,"Aydın, Didim",https://www.buyukanadoludidimresort.com,listing
3891,Agrovela Hotel,"İzmir, Çeşme, Alaçatı",http://www.dalamanairportlykiaresorthotel.com,listing
190815,Ahmeda Apart Otel,"Balıkesir, Ayvalık",https://www.sarimsakliahmedaapart.com/,web_search
784094,Airport Güllük Otel,"Muğla, Milas",https://www.airportotel.com,listing
875398,Ajlan Hotel Cunda,"Balıkesir, Ayvalık",https://ajlanayvalik.com,web_search
873758,Akana Cennet Koyu Bodrum,"Muğla, Bodrum",https://www.akanahotels.com,web_search
1021694,Akana Loft,"Muğla, Bodrum",https://www.akanaloft.com/,web_search
878418,Akar Palace Resort Hotel,"Antalya, Kemer",https://www.akarpalaceresort.com,listing
12,Akra Antalya,,https://www.akrahotels.com,listing
1018579,Aksel Butik Otel,"Aydın, Didim",https://akselbutikotel.com,web_search
144934,Akvaryum Hotel,"Muğla, Bodrum, Gümbet",https://www.isis.com.tr,listing
1403,Akyalı Butik Otel,"Muğla, Bodrum, Güvercinlik",https://www.akyaliotel.com,listing
876021,Ala Grand Residence,"Muğla, Bodrum",https://www.alagrandresidence.com,listing
1020771,Ala Konak Alaçatı,"İzmir, Çeşme, Alaçatı",http://www.alakonakalacati.com/index.html,listing
1284460,Ala Suites and Villas,Muğla,https://www.galasuitesvillas.com/,web_search
593593,Alados Otel,"Muğla, Marmaris",https://www.aladosotel.com,listing
