hotel_match,hotel_id,name,url,final_url,status,title,match_reason
no,parafly_140885,Balim Hotel,http://www.hotelbalim.com/,,mismatch,独身女性の平均貯金額とお金事情 - おひとりさま貯金してる？,Japanese finance spam page
no,parafly_45382,Blue Sea Garden (Adults Only),http://www.hotelblueseagarden.com,https://pintarbersamapayakumbuh.org/paket-bimbel/program-khusus-tembus-ui-itb/,redirect_suspicious,"Toto Macau : Togel Macau, Pengeluaran Macau, Data Macau Hari Ini Serta Live Draw Macau Pools",gambling site (Toto Macau)
no,parafly_208854,Bodrum Golden Beach Hotel,https://www.goldenbeachbodrum.com,https://derinyikama.com.tr/kadikoy-koltuk-yikama,redirect_suspicious,Profesyonel Kadıköy Koltuk Yıkama Hizmetleri - En iyi yıkama,redirects to a sofa-cleaning business
no,parafly_416719,Cocopalm Boutique Hotel Alaçatı,https://www.cocopalmalacati.com,,mismatch,"Online Casino στην Ελλάδα | Σύγκριση, μπόνους και αναλήψεις",online casino site
no,parafly_1285108,Cratos Premium Hotel,https://www.cratospremium.com,,mismatch,3CX Webclient,"3CX phone-system login page, not a hotel site"
no,parafly_873037,Crystal Club World Of Colours,https://www.crystalhotels.com,,mismatch,Crystal Mountain Hotel | Cozy & Stylish Alpine Escape,"shows Crystal Mountain (alpine), not World of Colours Belek"
no,parafly_415304,Doris Aytur Otel,https://www.hoteldorisaytur.com,,mismatch,Slot QRIS: Situs Slot Deposit QRIS Resmi dan Terpercaya Gampang Menang Hari Ini,gambling site (Slot QRIS)
no,parafly_1298823,DoubleTree by Hilton Kars Sarıkamış,https://www.doubletreebyhiltonsarikamis.com,,mismatch,isimtescil.net | Türkiye'nin Domain ve Hosting Lideri | Hoş geldiniz,domain reseller/parking page (isimtescil.net)
no,parafly_781396,Elamir Magic Dream Hotel,https://www.botanikresorthotel.com,,mismatch,botanikresorthotel.com,resolves to Botanik Resort Hotel (different)
no,parafly_17,Forever Club (14+),https://www.foreverclub.com,,mismatch,Turhost hosting altyapısında barınmaktadır.,hosting provider parking page (Turhost)
no,parafly_701,Grand Park Lara,https://www.corendonhotels.com.tr,,mismatch,Corendon Hotels &amp; Resorts Türkiye | Corendon Hotels &amp; Resort Türkiye,resolves to Corendon Hotels (different brand)
no,parafly_1025441,Jura Hotels Bodrum Resort,https://www.jurahotels.com.tr,,ssl_error,Jura Hotels Ada Beach Kuşadası | Jura Group Hotels,"shows Jura Ada Beach Kusadasi, not the Bodrum resort"
no,parafly_1023969,Jura Hotels Kemer Resort,https://www.jurahotelskemer.com,https://expireddomains.com/domain/jurahotelskemer.com?utm_source=redi,redirect_suspicious,Domain Not Found,domain expired / for sale (expireddomains.com)
no,parafly_640925,Linda Beach Hotel,http://www.kaslindahotel.com/lindabeach/default.asp,,parked,kaslindahotel.com&nbsp;-&nbsp;kaslindahotel Resources and Information.,parked/for-sale placeholder (kaslindahotel.com)
no,parafly_593759,Moyo Luxury Hotel & Beach,https://www.moyohotel.com/iletisim,,mismatch,Visit Turkey. Book your dream hotel from Istanbul to the sunny coast.,generic 'Visit Turkey' travel portal
no,parafly_175126,Munamar Beach Residence,https://www.munamarbeachresidence.com,https://elitetravelni.net/,redirect_suspicious,AgenPlay88: Login Terbaru Slot Gacor Gratis Demo Slot Dana Qris Pulsa,redirects to a gambling site
no,parafly_239927,Olympos Village Relaxury Hotel,https://www.olymposvillage.com,https://www.olympostoprakevleri.com/,redirect_suspicious,"Olympos Toprak Evleri | Deniz ile aranızda ormanın içinden yürüyeceğiniz, kısa bir mesafe var!",resolves to Olympos Toprak Evleri (different property)
no,parafly_874396,Ramona Kale Hotel,https://www.ramonakale.com,https://www.antalyatravestii.com/,redirect_suspicious,Antalya Travesti – Gay Travestileri – Travesti Antalya,hijacked to adult-content site
no,parafly_64157,Selin' s Otel River,https://www.selinotelspabelek.com,,mismatch,Sex Viet69 - Kho Phim Sex Việt Full XXX Không Che,adult-content spam page
no,parafly_415061,Side Miami Beach,https://www.sidemiamibeach.com,https://www.abakerschoice.com/,redirect_suspicious,RAJA88JP: Situs Slot Online Gampang JP Link Gacor Agen Slot88 Paling Top,gambling site (RAJA88JP)
no,parafly_1024011,Siu Collection,https://aydinbeyhotels.com/,,mismatch,Aydınbey Hotels,resolves to Aydinbey Hotels (different brand)
no,parafly_1023974,Zeyda Lara Hotel,https://www.jurahotels.com.tr,https://jurahotelsadabeach.com/,redirect_suspicious,Jura Hotels Ada Beach Kuşadası | Jura Group Hotels,resolves to Jura Ada Beach (different hotel)
uncertain,parafly_1367,AQI Pegasos Royal,https://www.tthotels.com,,mismatch,TUI Hotels & Resorts Turkey,TUI Turkey operator portal; AQI property not named
uncertain,parafly_324646,AQI Pegasos World,https://www.tthotels.com,,mismatch,TUI Hotels & Resorts Turkey,TUI Turkey operator portal; AQI property not named
uncertain,parafly_144934,Akvaryum Hotel,https://www.isis.com.tr,,mismatch,isis.com.tr,resolves to isis.com.tr - likely different hotel
uncertain,parafly_663114,Alder Hotel,https://www.alderotel.com,,mismatch,Domain Default page,domain default page
uncertain,parafly_1025343,Alya Sierra Bodrum,https://www.alyasierrabodrum.com,,ssl_error,Alya Villas,"shows Alya Villas (same brand, different product)"
uncertain,parafly_377935,Arkın Palm Beach Hotel,http://www.arkinpalmbeach.com,,mismatch,"Sorry, the website has been stopped",'website has been stopped' (hosting suspended)
uncertain,parafly_781113,Aslan Corner Otel,https://www.aslanhotels.com,,ssl_error,Aslan City Hotel,"shows Aslan City Hotel, not Aslan Corner (same brand, diff property)"
uncertain,parafly_593536,Beralisa Family Garden Resort - All inclusive,https://www.omorfigardenresort.com,,ssl_error,omorfigardenresort.com,resolves to Omorfi Garden Resort - possible rebrand
uncertain,parafly_324955,Blue Sky Hotel & Suites,https://www.bluehotel.com,,mismatch,Web Server's Default Page,unconfigured web-server default page
uncertain,parafly_414938,Club Grand Aqua,https://www.sezergroup.com,,mismatch,Sezer Group Hotels - Antalya Side,Sezer Group Hotels portal; property not named
uncertain,parafly_1447,Club Hotel Rama,https://www.ramaotel.com,,mismatch,Plesk Obsidian 18.0.76,Plesk server default page
uncertain,parafly_689,El Vino Hotels & Suites,https://www.elvinobodrum.com,,mismatch,Web sitemiz yakında geliyor,'site coming soon' placeholder
uncertain,parafly_872579,Erdek Talia Beach Hotel,https://www.erdeksunbeachhotel.com/,,mismatch,Redirecting...,bare 'Redirecting...' page
uncertain,parafly_313675,Fun & Sun Family Club Saphire,https://www.larissahotels.com,,mismatch,Larissa Hotels,Larissa Hotels portal (possibly Larissa Sapphire)
uncertain,parafly_414844,Hotel Golden Sun +12 Adult Only,https://www.otelgoldensun.com/,,mismatch,AKDENİZİ HİSSEDİN,"generic slogan page, hotel name not shown"
uncertain,parafly_1020859,Kahya Hotel Kleopatra,https://www.kahyahotels.com,,mismatch,Plesk Obsidian 18.0.78,Plesk server default page
uncertain,parafly_628,Kairaba Bodrum Imperial,https://www.tthotels.com,,mismatch,TUI Hotels & Resorts Turkey,TUI Turkey operator portal; Kairaba property not named
uncertain,parafly_1023581,Kamkat Otel,https://kamkatotel.com/,,mismatch,Loading...,bare 'Loading...' page
uncertain,parafly_1018546,Karaoz Light House,https://www.karaozlighthouse.com,,mismatch,Redirecting...,bare 'Redirecting...' page
uncertain,parafly_1264338,Kirman Belazur Resort & SPA,https://www.kirmanhotels.com.tr,,ssl_error,Kirman Premium | Completes You!,"shows Kirman Premium, not Belazur (same brand, diff property)"
uncertain,parafly_139785,Kleopatra Royal Palm Hotel,https://www.feriahotels.com,,mismatch,Feria Hotels &#8211; OFFICIAL WEBSITE,Feria Hotels group; property not named
uncertain,parafly_1210719,Milagre Cave Cappadocia,https://milagrecavehotel.com,,mismatch,-,empty '-' title
uncertain,parafly_147661,Mukarnas Spa Resort,https://www.mukarnashotel.com,,mismatch,Home -,generic 'Home -' placeholder
uncertain,parafly_1019941,Oscar Seaside Hotel & Spa,https://bodrumoscarseasidehotel.com/,,parked,Coming Soon,'Coming Soon' placeholder
uncertain,parafly_1210682,Panjur Alaçatı,http://alacati.panjurs.com/,,mismatch,Index of /,"'Index of /' directory listing, no site"
uncertain,parafly_1264382,Rixos Downtown Antalya - The Land Of Legends Access,http://de.rixos.com/contact/list-acardion/contact/439/315/0,https://www.rixos.com/de,redirect_suspicious,Willkommen bei Rixos All-inclusive Resorts,Rixos group portal; property not named
uncertain,parafly_876572,Sefine Otel,https://www.sefinehotel.com.tr/,,mismatch,Yapım Aşamasında!,'under construction' placeholder
uncertain,parafly_1413,Temenos Luxury Hotel & Spa,https://www.temenoshotel.com,,mismatch,Redirecting...,bare 'Redirecting...' page
uncertain,parafly_145,The Karia Princess Hotel,https://www.kariaprincess.com,,ssl_error,The Karia Hotel,'The Karia Hotel' - possibly different/rebranded property
uncertain,parafly_418645,Ürgüp Konak Hotel,http://urgupkonak.com/index.html,,mismatch,404,bare '404' page
cant_load,parafly_781267,3 House Apart,https://www.apart3house.com,,unreachable,,page did not load (unreachable)
cant_load,parafly_873694,Adrasan Eldorado Butik,https://www.eldoradootel.com/,,unreachable,,page did not load (unreachable)
cant_load,parafly_299,Adrasan Klados Hotel,https://www.adrasankladoshotel.com,,unreachable,,page did not load (unreachable)
cant_load,parafly_1023633,Adrasan La Casita Boutique Hotel,http://lacasitaadrasan.com,,unreachable,,page did not load (unreachable)
cant_load,parafly_3891,Agrovela Hotel,http://www.dalamanairportlykiaresorthotel.com,,parked,,page did not load (parked)
cant_load,parafly_878418,Akar Palace Resort Hotel,https://www.akarpalaceresort.com,,ssl_error,,page did not load (ssl_error)
cant_load,parafly_1403,Akyalı Butik Otel,https://www.akyaliotel.com,,unreachable,,page did not load (unreachable)
cant_load,parafly_876021,Ala Grand Residence,https://www.alagrandresidence.com,,unreachable,,page did not load (unreachable)
cant_load,parafly_1020771,Ala Konak Alaçatı,http://www.alakonakalacati.com/index.html,,unreachable,,page did not load (unreachable)
cant_load,parafly_987,Alaiye Kleopatra Hotel,https://www.alaiyehotels.com,,unreachable,,page did not load (unreachable)
cant_load,parafly_1264274,Alaiye Resort & Spa Hotel,https://www.alaiyehotels.com,,timeout,,page did not load (timeout)
cant_load,parafly_782918,Alaçatı Begonvil By Aliki,https://www.begonvilbyaliki.com,,unreachable,,page did not load (unreachable)
cant_load,parafly_64235,Albano Hotel,https://:www.cesmealbanohotel.com.tr,,unreachable,,page did not load (unreachable)
cant_load,parafly_113333,Alesta Yacht Hotel,http://www.alestayachthotel.com/,,unreachable,,page did not load (unreachable)
cant_load,parafly_416709,Alfa Apart Otel,https://alfaapart.com,,unreachable,,page did not load (unreachable)
cant_load,parafly_859380,Altınsaray Hotel,https://www.hotelaltinsaray.com,,unreachable,,page did not load (unreachable)
cant_load,parafly_872781,Amfora Hotel,https://amforahotel.com/,,unreachable,,page did not load (unreachable)
cant_load,parafly_874414,Amsterdam Otel & Suites,https://www.amsterdambutikotel.com,,unreachable,,page did not load (unreachable)
cant_load,parafly_96931,Anatolian Houses Cave Hotel & Spa,https://www.anatoliahouses.com.tr,,unreachable,,page did not load (unreachable)
cant_load,parafly_663268,Anemon Diyarbakır Suit Hotel,https://anemonhotels.com/hotel/anemon-diyarbakir-suit-rezidans/,,unreachable,,page did not load (unreachable)
cant_load,parafly_640848,Anemonia Hotel,https://hotelanemonia.com,,unreachable,,page did not load (unreachable)
cant_load,parafly_877597,Anita Sunpark Beach,https://sunpark.anitahotels.com,,unreachable,,page did not load (unreachable)
cant_load,parafly_212429,Annabella Park Hotel,https://www.anabellahotels.com,,unreachable,,page did not load (unreachable)
